rank,latitude,longitude,ws100_mean,annual_energy_mwh_mean,capacity_factor_mean,full_load_hours_mean,wind_cv,aep_cv
1,39.75,89.25,6.248577249999999,4473.951546666666,0.255172446,2236.97577,0.0336432649778789,0.0713165526807841
2,40.0,89.0,6.23158511,4460.48893,0.2544047876666667,2230.2444666666665,0.0326982149270867,0.0702275654733142
3,40.0,89.5,6.2051448633333335,4459.275136666666,0.2543354576666666,2229.6375666666663,0.0321371456770307,0.0688111935224176
4,40.0,89.25,6.204664636666666,4456.67939,0.25418756,2228.3397,0.0325258413007883,0.069566577042206
5,39.75,89.0,6.228586480000001,4436.748516666668,0.2530503753333333,2218.374263333333,0.0333823439444333,0.0712564018873167
6,39.5,102.0,6.495864293333333,4417.31305,0.2519458033333333,2208.656536666667,0.0296911930319534,0.0729316617065172
7,39.75,89.5,6.225707946666666,4404.110303333334,0.2511890376666666,2202.055163333333,0.033303658162018,0.0716838316324442
8,34.25,90.5,6.504231226666667,4400.616743333333,0.250994318,2200.30837,0.0317156721604554,0.0771210961360453
9,39.5,102.25,6.4838136366666665,4391.344253333333,0.2504645133333333,2195.67212,0.0305086150496619,0.0758164109970139
10,40.0,89.75,6.176032,4381.5227466666665,0.2499006943333333,2190.761376666667,0.0316078866377707,0.0684233788977684
11,34.5,90.25,6.447877953333333,4343.825523333334,0.2477554579999999,2171.9127566666666,0.0317245708365299,0.075796736496037
12,34.5,90.5,6.3687898,4264.607446666667,0.243236574,2132.3037200000003,0.0322248483547859,0.0764249137828641
13,40.0,90.0,6.083266429999999,4184.697786666667,0.238674651,2092.3488866666667,0.0309975517224518,0.0690846802476085
14,39.25,102.25,6.309623520000001,4168.985043333333,0.2377822913333333,2084.49252,0.0318701460095407,0.078630231528628
15,39.25,102.0,6.264147643333333,4154.654833333333,0.2369633926666666,2077.327423333333,0.0295314826700531,0.072074011510614
16,39.75,89.75,6.05988002,4139.757656666667,0.236111507,2069.878833333333,0.0330169180958657,0.0731994788610234
17,35.0,91.25,6.33679207,4043.4467,0.2306228496666666,2021.72335,0.0313663003694287,0.0731668590296331
18,39.5,101.75,6.231885233333333,4032.424516666667,0.2299931989999999,2016.2122533333331,0.0301841290268355,0.0755327354518181
19,34.75,90.0,6.183361866666667,4025.050793333333,0.2295746043333333,2012.5254,0.0353571580307224,0.082258034323997
20,34.75,90.25,6.166080750000001,4008.06263,0.2286047196666666,2004.0313133333332,0.0351715781630794,0.0835442692103481
