site_type,horizon,model,mae_kw,rmse_kw,nmae_percent,nrmse_percent,mape_above_50kw_percent
optimal,1,persistence,53.54984369886909,127.49680814352295,2.6774921849434543,6.374840407176148,40.76411527899731
optimal,1,cnn_lstm,187.33766161014245,439.71128278202764,9.366883080507122,21.98556413910138,99.93877316628519
optimal,1,corrected,41.4570498669754,92.9189022782303,2.07285249334877,4.645945113911516,31.01470451635184
optimal,6,persistence,199.32057324139524,412.5701752223854,9.966028662069762,20.628508761119267,130.3398758043379
optimal,6,cnn_lstm,187.6909941658441,441.2413851384689,9.384549708292205,22.062069256923444,99.97728179516261
optimal,6,corrected,158.3606119948586,289.5901199579813,7.91803059974293,14.479505997899064,79.14678375622553
reference,1,persistence,41.10161632524273,109.57673477994803,2.0550808162621363,5.478836738997401,42.90250065302848
reference,1,cnn_lstm,133.03054184460453,356.58825437317415,6.651527092230227,17.82941271865871,99.90679337414755
reference,1,corrected,31.432562783624117,80.21577963618218,1.5716281391812057,4.0107889818091085,31.95145410315845
reference,6,persistence,160.4951461909797,354.5003883354932,8.024757309548985,17.72501941677466,136.3004027959396
reference,6,cnn_lstm,133.5041144784803,359.0352239541913,6.675205723924014,17.951761197709565,99.97936635181253
reference,6,corrected,121.02701529560666,241.13119051481192,6.0513507647803335,12.056559525740596,71.94135289876598
